tconst,popularity,production_countries,averageRating,category,primaryName,birthYear,titles,votes,runtime_minutes,start_year,poster_url,video_link,overview,original_title,genres,languages
tt5815988,2.163,['CA'],6.5,actor,Paul Ahmarani,1972,The Cyclotron - Le cyclotron,6734.0,96.0,2016,https://image.tmdb.org/t/p/w154/iUqBobKmk2d2uCu06A51eCTQ8uM.jpg,https://www.youtube.com/watch?v=193005095,"En 1944, Simone, une espionne alliée est envoyée en mission en Allemagne pour retrouver et exécuter Emil, un scientifique Suisse qui a découvert les secrets du cyclotron et ainsi mis la main sur la formule permettant de fabriquer la bombe atomique. Mais les Allemands sont aussi à sa poursuite, bien décidés à s'emparer de la recette. Ils ont pour leur part mandaté König, un officier rusé et prêt à tout pour arriver à ses fins...",The Cyclotron,"Drama, History, Mystery","de, fr"
tt5834036,7.616,['CA'],6.5,actor,Antoine Olivier Pilon,1997,1:54 - Running,1875.0,106.0,2016,https://image.tmdb.org/t/p/w154/8uHDTAHeIE5VebYNxLGarQ39GNm.jpg,https://www.youtube.com/watch?v=NZHgtnj38HY,"À 16 ans, Tim est un jeune homme timide, brillant, et doté d'un talent sportif naturel. Mais la pression qu'il subit le poussera jusque dans ses derniers retranchements, là où les limites humaines atteignent le point de non-retour.",1:54,"Drama, Sport","en, fr"
tt5867796,3.065,['FR'],6.5,actress,Clotilde Hesme,1979,Diane Has the Right Shape - Diane Has the Right Shape,6768.0,87.0,2017,https://image.tmdb.org/t/p/w154/xJjjaDE17ivJK3bc1k8bU8FfnGs.jpg,https://www.youtube.com/watch?v=QWCEYAs8Nm4,"Sans hésiter, Diane a accepté de porter l’enfant de Thomas et Jacques, ses meilleurs amis. C’est dans ces circonstances, pas vraiment idéales, qu’elle tombe amoureuse de Fabrizio.",Diane a les épaules,"Comedy, Drama","en, fr"
tt5869620,2.033,['CA'],6.5,actress,Charlotte Aubin,1991,Those Who Make Revolution Halfway Only Dig Their Own Graves - Those Who Make Revolution Halfway Only Dig Their Own Graves,6736.0,183.0,2016,https://image.tmdb.org/t/p/w154/y4YlkGnzs57nwDGo6SMyL4FiVt4.jpg,https://www.youtube.com/watch?v=W8LIg_M3tAM,"Klas Batalo, Giutizia, Tumulto et Ordine Nuovo, quatre Québécois dans la vingtaine, refusent le monde tel qu’il leur est offert. Trois ans après l’échec retentissant du « Printemps Érable », ils se lancent dans des actions de vandalisme qui tendent de plus en plus vers le terrorisme. Mais leur avant-garde révolutionnaire ne rejoint visiblement pas les aspirations dominantes de la société et risque à tout moment de leur éclater au visage.",Ceux qui font les révolutions à moitié n'ont fait que se creuser un tombeau,Drama,"en, fr"
tt5894778,2.861,"['CA', 'FR']",6.5,actress,Diane Dassigny,1983,Louise by the Shore - Louise by the Shore,6787.0,75.0,2016,https://image.tmdb.org/t/p/w154/Amb1OKuvJ4Qara4m65n05swl1xK.jpg,https://www.youtube.com/watch?v=ni9k7b2aBVo,"À la fin de l'été, Louise voit le dernier train de la saison, qui dessert la petite station balnéaire de Biligen, partir sans elle. La ville est désertée.  Le temps rapidement se dégrade, les grandes marées d'équinoxe surviennent condamnant maintenant électricité et moyens de communication. Fragile et coquette, bien moins armée que Robinson, Louise ne devrait pas survivre à l'hiver.  Mais elle n'a pas peur et considère son abandon comme un pari. Elle va apprivoiser les éléments naturels et la solitude. Ses souvenirs profitent de l'occasion pour s'inviter dans l'aventure. Jusqu'à ce qu'une explication lui soit révélée et que tout rentre dans l'ordre.",Louise en hiver,"Animation, Drama","en, fr"
tt5929654,13.606,"['GB', 'US']",5.2,actress,Megan Fox,1986,Think Like a Dog - Un esprit de chien,2525.0,91.0,2020,https://image.tmdb.org/t/p/w154/m0BcjO59Cl5KNrEkndi2WzXPqrA.jpg,https://www.youtube.com/watch?v=s3_5WZSOsn8,"Dans cette comédie familiale légère, un petit prodige de 12 ans établit un lien télépathique avec son chien et meilleur ami, Henry, après qu'une de ses expériences scientifiques a mal tourné.",Think Like a Dog,"Comedy, Drama, Family","en, fr, zh"
tt5956234,1.4,['FR'],6.5,actor,Jacky Ido,1977,Chateau - Chateau,6737.0,81.0,2017,https://image.tmdb.org/t/p/w154/kSfcgKBlcefISxt37XqxkkQlnM8.jpg,https://www.youtube.com/watch?v=nCd-lX7eAw0,"Paris, station Château d'Eau. Charles est le chef d'un groupe de rabatteurs employés par les salons de coiffure afro du quartier. L'ascension d'un jeune rival aux méthodes plus agressives vont l'entraîner dans une dangereuse spirale.",La Vie de Château,"Comedy, Drama","en, fr, hi, ku, zh"
tt5969846,6.669,['FR'],6.5,actor,Gilles Lellouche,1972,Room(h)ates - Sous Le Même Toit,7074.0,97.0,2017,https://image.tmdb.org/t/p/w154/1oytADs4loq93v7lS3UjNoDRLBg.jpg,https://www.youtube.com/watch?v=7-zRgtyvVqs,"Delphine et Yvan  divorcent d’un commun accord. Pour eux, comme pour leurs deux enfants Violette et Lucas, la séparation se déroule dans le calme. Sa situation financière devenant critique, mais étant tout de même propriétaire de 20% de la maison, Yvan décide de retourner vivre avec Delphine. Les deux ex vont alors découvrir les joies de la colocation forcée…",Sous le même toit,"Comedy, Family","en, fr"
tt5976178,6.944,['FR'],6.5,actor,Kev Adams,1991,Gangsterdam - Gangsterdam,6995.0,100.0,2017,https://image.tmdb.org/t/p/w154/ew4ThBsYb5xHIDIVXKRKgH10uln.jpg,https://www.youtube.com/watch?v=m1-XREnty30,"Ruben, Durex et Nora sont tous les trois étudiants en dernière année de fac. Par manque de confiance en lui, Ruben a déjà raté une fois ses examens. Même problème avec Nora, à qui il n'ose avouer ses sentiments. Et ce n'est pas Durex son ami d’enfance, le type le plus gênant au monde, qui va l’aider…Lorsqu’il découvre que Nora est aussi dealeuse et qu’elle part pour Amsterdam afin de ramener un tout nouveau type de drogue, Ruben prend son courage à deux mains et décide de l’accompagner. Ce voyage à Amsterdam, c’est le cadre idéal pour séduire enfin Nora, dommage pour lui que Durex s’incruste dans l’aventure. Alors que tous les trois découvrent la capitale la plus dingue d’Europe, leur vie va franchement se compliquer quand ils vont réaliser que la drogue qu’ils viennent de récupérer appartient aux plus grands criminels d’Amsterdam…Très vite Ruben, Durex et Nora vont comprendre que pour retrouver leur vie d’avant, ils vont devoir cesser d’être des blaireaux, pour devenir de vrais héros.",Gangsterdam,"Action, Adventure, Comedy","en, fr, nl"
tt5989394,6.458,['FR'],6.9,actor,Finnegan Oldfield,1991,Reinventing Marvin - Reinventing Marvin,1721.0,115.0,2017,https://image.tmdb.org/t/p/w154/l3Dr7uYcuQMlZq5SWk0J9Hyh46L.jpg,https://www.youtube.com/watch?v=HK64mvkkedQ,"Martin Clément, né Marvin Bijou, a fui. Il a fui son petit village des Vosges. Il a fui sa famille, la tyrannie de son père, la résignation de sa mère. Il a fui l'intolérance et le rejet, les brimades auxquelles l'exposait tout ce qui faisait de lui un garçon «différent». Envers et contre tout, il s'est quand même trouvé des alliés. D'abord, Madeleine Clément, la principale du collège qui lui a fait découvrir le théâtre, et dont il empruntera le nom pour symbole de son salut. Et puis Abel Pinto, le modèle bienveillant qui l'encouragera à raconter sur scène toute son histoire.  Marvin devenu Martin va prendre tous les risques pour créer ce spectacle qui, au-delà du succès, achèvera de le transformer.",Marvin ou la belle éducation,Drama,"en, fr"
